device,ip,app,os,channel,click_time,attributed_time,is_attributed
0,56011,56011,56011,56011,56011,5549,56011
1,9428426,9428426,9428426,9428426,9428426,16610,9428426
2,437699,437699,437699,437699,437699,115,437699
4,91,91,91,91,91,17,91
5,740,740,740,740,740,0,740
6,665,665,665,665,665,152,665
7,170,170,170,170,170,43,170
8,69,69,69,69,69,10,69
9,65,65,65,65,65,6,65
10,4,4,4,4,4,0,4
11,91,91,91,91,91,16,91
12,4,4,4,4,4,0,4
13,1,1,1,1,1,0,1
14,34,34,34,34,34,9,34
15,7,7,7,7,7,2,7
16,571,571,571,571,571,120,571
17,28,28,28,28,28,4,28
18,369,369,369,369,369,77,369
19,17,17,17,17,17,3,17
20,117,117,117,117,117,15,117
21,292,292,292,292,292,62,292
22,5,5,5,5,5,1,5
23,10,10,10,10,10,1,10
24,8,8,8,8,8,1,8
25,102,102,102,102,102,15,102
26,10,10,10,10,10,0,10
27,10,10,10,10,10,0,10
28,13,13,13,13,13,4,13
29,16,16,16,16,16,1,16
30,254,254,254,254,254,39,254
32,3,3,3,3,3,1,3
33,303,303,303,303,303,61,303
34,26,26,26,26,26,7,26
35,12,12,12,12,12,4,12
36,62,62,62,62,62,13,62
37,192,192,192,192,192,45,192
38,6,6,6,6,6,1,6
39,9,9,9,9,9,1,9
40,690,690,690,690,690,142,690
41,2,2,2,2,2,0,2
42,55,55,55,55,55,7,55
43,2,2,2,2,2,0,2
44,24,24,24,24,24,6,24
45,33,33,33,33,33,9,33
46,154,154,154,154,154,33,154
47,1,1,1,1,1,0,1
48,2,2,2,2,2,0,2
49,27,27,27,27,27,7,27
50,174,174,174,174,174,38,174
51,23,23,23,23,23,0,23
52,15,15,15,15,15,5,15
53,44,44,44,44,44,4,44
54,47,47,47,47,47,5,47
56,123,123,123,123,123,12,123
57,11,11,11,11,11,0,11
58,20,20,20,20,20,2,20
59,1284,1284,1284,1284,1284,0,1284
60,109,109,109,109,109,13,109
61,40,40,40,40,40,5,40
62,2,2,2,2,2,0,2
63,10,10,10,10,10,2,10
64,22,22,22,22,22,2,22
65,6,6,6,6,6,1,6
66,4,4,4,4,4,1,4
67,204,204,204,204,204,36,204
68,34,34,34,34,34,4,34
69,2,2,2,2,2,1,2
70,3,3,3,3,3,0,3
71,8,8,8,8,8,2,8
72,24,24,24,24,24,6,24
73,60,60,60,60,60,8,60
74,28,28,28,28,28,2,28
75,19,19,19,19,19,5,19
