ip,device
6,4
9,10
10,2
19,2
20,15
25,2
27,15
31,1
33,4
36,14
39,2
45,9
52,1
55,1
59,8
61,1
62,1
63,10
81,2
83,2
85,5
88,10
92,9
93,1
95,11
104,2
107,2
108,2
114,1
117,17
120,13
122,14
124,2
126,11
127,1
133,11
138,1
143,1
147,13
150,5
151,10
165,7
167,4
169,7
174,12
176,6
177,7
178,18
190,1
195,2
196,6
198,9
203,3
206,4
209,19
212,9
219,6
220,4
222,14
226,8
231,9
232,9
234,1
235,7
246,4
247,7
248,4
254,5
255,19
259,11
268,12
277,2
279,25
280,13
282,2
283,2
284,3
288,6
291,1
295,2
301,1
302,16
315,13
324,4
327,6
340,2
341,3
344,3
346,5
350,1
353,24
361,3
363,8
365,16
366,1
368,7
372,7
373,3
381,12
387,3
390,4
391,3
392,14
394,3
403,2
405,10
407,9
409,2
411,7
413,10
424,2
432,12
433,3
436,2
439,14
440,4
441,4
444,5
445,1
450,1
464,10
466,4
468,17
469,5
470,4
472,7
475,4
480,3
488,9
499,10
501,3
502,5
509,2
510,4
514,1
519,6
521,6
522,3
523,4
525,4
531,8
536,1
540,7
550,8
552,2
554,3
555,2
563,8
566,1
573,2
577,14
586,4
591,2
594,2
596,64
598,8
599,4
603,2
611,2
623,3
625,46
629,1
631,1
637,1
638,7
641,2
645,1
648,1
657,6
658,13
659,4
663,1
673,2
676,11
679,2
681,8
685,12
700,3
705,18
706,7
707,2
714,2
716,6
723,2
724,5
727,2
728,12
729,1
738,5
740,4
742,4
744,4
745,3
746,7
750,12
753,2
763,4
766,8
767,13
770,2
783,8
785,3
792,5
793,4
794,4
798,1
799,5
800,1
802,3
806,9
807,3
812,2
814,6
815,10
817,5
820,1
826,3
832,17
833,7
834,3
835,50
837,7
839,1
840,1
843,1
846,5
847,5
853,6
860,22
868,2
869,14
871,32
873,4
875,3
878,2
879,8
885,14
890,1
892,41
911,2
912,4
913,36
915,1
918,19
924,11
925,38
927,2
930,2
933,3
944,50
947,13
953,11
956,1
959,36
960,18
973,44
974,40
988,20
991,11
993,1
1000,6
1003,22
1012,26
1016,1
1025,36
1029,2
1031,1
1036,28
1040,3
1041,11
1044,8
1046,2
1049,52
1056,1
1057,5
1067,25
1068,1
1070,12
1074,64
1082,62
1084,6
1089,2
1091,49
1092,13
1093,1
1097,4
1099,5
1107,2
1108,32
1112,4
1113,9
1114,5
1117,18
1123,1
1127,9
1140,6
1141,1
1142,23
1143,3
1147,2
1149,1
1158,1
1165,5
